tier	gwas studies	PGS id	name	other names	GWAS tags	source	note
C	18	BIGCS	Born in Guangzhou Cohort Study		BIGCS	PGS + GWAS	
C	18	GARP	Genetics OsteoArthritis and Progression		GARP	PGS + GWAS	
C	18	PHS	Physicians Health Study		PHS	PGS + GWAS	
C	18	TSS	Trinity Student Study		TSS	PGS + GWAS	
C	18	Yale-Penn	Genetics of Substance Dependence Yale Penn		Yale-Penn	PGS + GWAS	
C	17	CAVAS	Cardiovascular Disease Association Study		CAVAS	PGS + GWAS	
C	17	CHNS	China Health and Nutrition Survey		CHNS	PGS + GWAS	
C	16	300-OB	300_Obese cohort		300-OB	PGS + GWAS	
C	16	A4	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Disease		A4	PGS + GWAS	
C	16	ACE	Autism Centre of Excellence		ACE	PGS + GWAS	
C	16	CATSS	Child and Adolescent Twin Study in Sweden		CATSS	PGS + GWAS	
C	16	CLUEII	Give Us a Clue to Cancer and Heart Disease Study II		CLUEII	PGS + GWAS	
C	16	GRAPHIC	Genetic Regulation of Arterial Pressure in Humans in the Community		GRAPHIC	PGS + GWAS	
C	16	HCHS-SOL	Hispanic Community Health Study / Study of Latinos	HCHS, SOL	HCHS-SOL; HCHS/SOL; HCHS_SOL	PGS + GWAS	
C	16	HCHS/SOL	Hispanic Community Health Study / Study of Latinos		HCHS-SOL; HCHS/SOL; HCHS_SOL	PGS + GWAS	
C	16	MYHAT	The Monongahela-Youghiogheny Healthy Aging Team		MYHAT	PGS + GWAS	
C	16	Vanderbilt	Vanderbilt Genome-Wide Association Studies		Vanderbilt	PGS + GWAS	
C	16		CEU		CEU	GWAS only	
C	16		YRI		YRI	GWAS only	
C	15	COPSAC	Copenhagen Study on Asthma in Childhood		COPSAC	PGS + GWAS	
C	15	DemGene	DemGene Project		DemGene	PGS + GWAS	
C	15	DIAGRAM	European descent in the Diabetes Genetics Replication And Meta-analysis		DIAGRAM	PGS + GWAS	
C	15	DISCOVeRY-BMT	Determining the Influence of Susceptibility Conveying Variants Related to One-Year Mortality after BMT		DISCOVeRY-BMT	PGS + GWAS	
C	15	EADI	EADI		EADI	PGS + GWAS	
C	15	EPICURE	EPICURE Consortium		EPICURE	PGS + GWAS	
C	15	GenEPA	GenEPA		GenEPA	PGS + GWAS	
C	15	GERAD	GERAD		GERAD	PGS + GWAS	
C	15	GFG	Genes for Good		GFG	PGS + GWAS	
C	15	ILM	Imperial-Liverpool-Melbourne Collaboration		ILM	PGS + GWAS	
C	15	SAFS	San Antonio Family Study		SAFS	PGS + GWAS	
C	15	SATSA	Swedish Adoption/Twin Study of Aging		SATSA	PGS + GWAS	
C	15	SiGN	The National Institute of Neurological Disorders and Stroke (NINDS) Stroke Genetics Network (SiGN)		SIGN; SiGN	PGS + GWAS	
C	15	SPIROMICS	Subpopulations and intermediate outcome measures in COPD study		SPIROMICS	PGS + GWAS	
C	15		VHSMC		VHSMC	GWAS only	
C	14	CADISP	Cervical Artery Dissection and Ischemic Stroke Patients		CADISP	PGS + GWAS	
C	14	Columbia	Columbia University Medical Center		Columbia	PGS + GWAS	
C	14	CSMC	Cedars-Sinai Medical Centre		CSMC	PGS + GWAS	
C	14	Gen3G	Genetics of Glucose regulation in Gestation and Growth		Gen3G	PGS + GWAS	
C	14	MAAS	Manchester Asthma and Allergy Study		MAAS	PGS + GWAS	
C	14	PATH	Population Assessment of Tobacco and Health		PATH	PGS + GWAS	
C	14	PUUMA	Peking University _ University of Michigan Study of Atherosclerosis		PUUMA	PGS + GWAS	
C	14	SCHS	Singapore Chinese Health Study		SCHS	PGS + GWAS	
C	14	SISTER	The Sister Study		SISTER	PGS + GWAS	
C	14	Urolife	UroLife Study		UroLife	PGS + GWAS	
C	13	CAPOC	Chinese Antipsychotics Pharmacogenomics Consortium		CAPOC	PGS + GWAS	
