ID	TYPE	label	member cohort	evidence	source
COHO:0000610	owl:NamedIndividual		COHO:0000024	Cancer Prevention Study II (CPSII)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000485	Prostate, Lung, Colorectal, and Ovarian (PLCO)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000523	Melbourne Collaborative Cohort Study (MCCS)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000556	Darmkrebs: Chancen der Verhütung durch Screening (DACHS)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000569	Diet, Activity, and Lifestyle Study (DALS)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000579	CancerScreening Trial; VITamins And Lifestyle (VITAL) cohort	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000585	Colorectal Cancer Genetics & Genomics (CRCGEN)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000596	Leeds Colorectal Cancer Study (LCCS)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000597	North Carolina Case-Control Study, I (NCCCSI)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000598	Alpha-Tocopherol, Beta-Carotene Cancer Prevention (ATBC)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000610	owl:NamedIndividual		COHO:0000601	Newfoundland Familial Colorectal Cancer Study (NFCCR)	https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/genetics-epidemiology-colorectal-cancer-consortium-gecco.html
COHO:0000611	owl:NamedIndividual		COHO:0000534	Both the HPFS/PHS and FH genetic studies are within the framework of the PRACTICAL (Prostate Cancer Association Group to Investigate Cancer-Associated Alterations in the Genome) Consortium.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10592169/unicode
